Název programu;Název oboru;Jazyk výuky;Alias
Dramatic Arts;Directing of Alternative and Puppet Theatre;Anglicky;Režie alternativního a loutkového divadla
Dramatická umění;Režie - dramaturgie alternativního a loutkového divadla;Česky;Režie-dramaturgie alternativního a loutkového divadla
Dramatická umění;Režie - dramaturgie činoherního divadla;Česky;Režie-dramaturgie činoherního divadla
Dramatická umění;Režie alternativního a loutkového divadla;Česky;Režie alternativního a loutkového divadla
Dramatická umění;Autorské herectví a teorie autorské tvorby a pedagogiky;Česky;Autorské herectví, jeho teorie a psychosomatika
Dramatická umění;Scénická tvorba a teorie scénické tvorby;Česky;Scénická tvorba a teorie scénické tvorby
Dramatická umění;Teorie a praxe divadelní tvorby;Česky;Teorie a praxe divadelni tvorby
Art of Dance;Nonverbal and Comedy Theatre;Anglicky;Nonverbální divadlo
Animal Science;General Animal Science;Anglicky;Obecná zootechnika
Animal Science;General Animal Science;Anglicky;Obecná zootechnika
Ekologické zemědělství;Ekologické zemědělství;Česky;Agroekologie - Ekologické zemědělství
Fytotechnika;Obecná produkce rostlinná;Česky;Obecná produkce rostlinná
Kvalita a zpracování zemědělských produktů;Kvalita a zpracování zemědělských produktů;Česky;Kvalita zemědělských produktů
Natural Resources and Environment;Natural Resources and Environment;Anglicky;Natural Resources and Environment
Rozvoj venkova a zemědělství;Zemědělství;Česky;['Zemědělství - Prvovýroba', 'Zemědělství - Zpracování produktů', 'Zemědělství - Rostlinolékařství']
Zootechnika;Obecná zootechnika;Česky;Obecná zootechnika
Zootechnika;Obecná zootechnika;Česky;Obecná zootechnika
Dřevařské inženýrství;Dřevařské inženýrství;Česky;Dřevařské inženýrství
Dřevařství;Dřevařství;Česky;Dřevařství
Forestry;Game Management;Anglicky;Provoz a řízení myslivosti
Forestry Engineering;Forest Engineering;Anglicky;Lesní inženýrství
Lesní inženýrství;Lesní inženýrství;Česky;Lesní inženýrství
Lesnictví;Provoz a řízení myslivosti;Česky;Provoz a řízení myslivosti
Agricultural Specialization;Sustainable Rural Development in Tropics and Subtropics;Anglicky;Sustainable Rural Development in TS
Krajinné inženýrství;Environmentální modelování;Česky;['Environmental Modelling', 'Environmentální modelování']
Krajinné inženýrství;Úpravy vodního režimu krajiny;Česky;Úpravy vodního režimu krajiny
Krajinné inženýrství;Úpravy vodního režimu krajiny;Česky;Úpravy vodního režimu krajiny
Landscape Engineering;Environmental Modelling;Anglicky;['Environmental Modelling', 'Environmentální modelování']
Agricultural Specialization;Sustainable Rural Development in Tropics and Subtropics;Anglicky;Sustainable Rural Development in TS
Economics and Management;Economics and Management;Anglicky;Ekonomika predprijatija i menedžment
Economics and Management;European Agrarian Diplomacy;Česky;European Agrarian Diplomacy
Economics Policy and Administration;Business Administration;Anglicky;Podnikání a administrativa
Economics Policy and Administration;Business Administration;Anglicky;Podnikání a administrativa
Ekonomika a management;Provoz a ekonomika;Česky;Economics and Management
Ekonomika a management;Evropská agrární diplomacie;Česky;European Agrarian Diplomacy
Hospodářská politika a správa;Podnikání a administrativa;Česky;Podnikání a administrativa
Hospodářská politika a správa;Veřejná správa a regionální rozvoj;Česky;['Veřejná správa a regionální rozvoj nav.- Jičín', 'Veřejná správa a regionální rozvoj - k.s. Litoměřice', 'Veřejná správa a regionální rozvoj - k.s. Klatovy', 'Veřejná správa a regionální rozvoj nav.- Klatovy', 'Veřejná správa a regionální rozvoj - k.s. Jičín', 'Veřejná správa a regionální rozvoj - k.s. Šumperk', 'Veřejná správa a regionální rozvoj nav.- Hradec Králové', 'Veřejná správa a regionální rozvoj nav.- Litoměřice', 'Veřejná správa a regionální rozvoj nav.- Most', 'Veřejná správa a regionální rozvoj nav.- Šumperk', 'Veřejná správa a regionální rozvoj nav.- Sez. Ústí - Tábor']
System Engineering and Informatics;Information Management;Anglicky;Information Management
Systémové inženýrství a informatika;Informační management;Česky;Information Management
Agricultural Engineering;Engineering of Agricultural Technological Systems;Anglicky;Technika zemědělských technologických systémů
Zemědělské inženýrství;Zemědělská technika;Česky;ZDTb-16 - specializace Zemědělská technika
Zemědělské inženýrství;Technika zemědělských technologických systémů;Česky;Technika zemědělských technologických systémů
Softwarové technologie a management;Web a multimedia;Česky;Aplikovaná informatika - specializace Web a multimédia
Softwarové technologie a management;Web a multimedia;Česky;Aplikovaná informatika - specializace Web a multimédia
Informatics;Web and Multimedia;Anglicky;Aplikovaná informatika - specializace Web a multimédia
Informatics;Web and Multimedia;Anglicky;Aplikovaná informatika - specializace Web a multimédia
Informatika;Web a multimedia;Česky;Aplikovaná informatika - specializace Web a multimédia
Informatika;Web a multimedia;Česky;Aplikovaná informatika - specializace Web a multimédia
Informatika;Web a multimedia;Česky;Aplikovaná informatika - specializace Web a multimédia
Ekonomika a management;Obchodní podnikání;Česky;Commerce and Entrepreneurship
Zemědělská specializace;Rybářství a ochrana vod;Česky;Fishery and Protection of Waters
Filologie;Česko-německá areálová studia;Česky;Česko-německá areálová studia - Anglická a americká literatura
Filologie;Francouzský jazyk pro evropský a mezinárodní obchod;Česky;Cizí jazyky pro evropský a mezinárodní obchod - francouzský jazyk
Filologie;Románská filologie;Česky;Románská filologie: specializace francouzský a italský jazyk
Filologie;Španělský jazyk pro evropský a mezinárodní obchod;Česky;Cizí jazyky pro evropský a mezinárodní obchod - španělský jazyk
Filologie;Bohemistika (jednooborové);Česky;['Bohemistika - archivnictví', 'Bohemistika - anglická a americká literatura', 'Historie - bohemistika', 'Bohemistika - francouzský jazyk a literatura', 'Bohemistika - Anglický jazyk a literatura', 'Historie - Bohemistika', 'Bohemistika - anglický jazyk a literatura', 'Filozofie - Bohemistika', 'Bohemistika - Francouzský jazyk a literatura', 'Bohemistika - španělský jazyk a literatura', 'Bohemistika - Anglická a americká literatura', 'Bohemistika - německý jazyk a literatura', 'Bohemistika - Německý jazyk a literatura', 'Bohemistika - románská filologie: specializace italský jazyk']
Filologie;Francouzský jazyk (jednooborové);Česky;['Český jazyk a literatura - francouzský jazyk', 'Český jazyk a literatura - Francouzský jazyk', 'Anglický jazyk a literatura - Francouzský jazyk', 'Románská filologie: specializace francouzský a italský jazyk', 'Historie - románská filologie: specializace francouzský jazyk', 'Bohemistika - románská filologie: specializace francouzský jazyk']
Filologie;Francouzský jazyk (jednooborové);Česky;['Český jazyk a literatura - francouzský jazyk', 'Český jazyk a literatura - Francouzský jazyk', 'Anglický jazyk a literatura - Francouzský jazyk', 'Románská filologie: specializace francouzský a italský jazyk', 'Historie - románská filologie: specializace francouzský jazyk', 'Bohemistika - románská filologie: specializace francouzský jazyk']
Filologie;Italský jazyk (jednooborové);Česky;['Bohemistika - románská filologie: specializace italský jazyk', 'Románská filologie: specializace francouzský a italský jazyk', 'Románská filologie: specializace italský a španělský jazyk']
Filologie;Španělský jazyk (jednooborové);Česky;['Anglický jazyk a literatura - Španělský jazyk', 'Český jazyk a literatura - Španělský jazyk', 'Románská filologie: specializace italský a španělský jazyk']
