'code','isPartOf','isPartOf2'
'archeologicky_ustav_brno','avcr','research'
'archeologicky_ustav_praha','avcr','research'
'astronomicky_ustav','avcr','research'
'biofyzikalni_ustav','avcr','research'
'biologicke_centrum','avcr','research'
'biotechnologicky_ustav','avcr','research'
'botanicky_ustav','avcr','research'
'centrum_pro_vyzkum_verejneho_mineni','avcr','research'
'centrum_vyzkumu_globalni_zmeny','avcr','research'
'entomologicky_ustav','avcr','research'
'etnologicky_ustav','avcr','research'
'farmakologicky_ustav','avcr','research'
'filosoficky_ustav','avcr','research'
'fyzikalni_ustav','avcr','research'
'fyziologicky_ustav','avcr','research'
'geofyzikalni_ustav','avcr','research'
'geologicky_ustav','avcr','research'
'historicky_ustav','avcr','research'
'hydrobiologicky_ustav','avcr','research'
'masarykuv_ustav_a_archiv','avcr','research'
'matematicky_ustav','avcr','research'
'mikrobiologicky_ustav','avcr','research'
'narodohospodarsky_ustav','avcr','research'
'orientalni_ustav','avcr','research'
'parazitologicky_ustav','avcr','research'
'psychologicky_ustav','avcr','research'
'slovansky_ustav','avcr','research'
'sociologicky_ustav','avcr','research'
'ustav_analyticke_chemie','avcr','research'
'ustav_anorganicke_chemie','avcr','research'
'ustav_biologie_obratlovcu','avcr','research'
'ustav_dejin_umeni','avcr','research'
'ustav_experimentalni_botaniky','avcr','research'
'ustav_experimentalni_mediciny','avcr','research'
'ustav_fotoniky_a_elektroniky','avcr','research'
'ustav_fyzikalni_chemie_j_heyrovskeho','avcr','research'
'ustav_fyziky_atmosfery','avcr','research'
'ustav_fyziky_materialu','avcr','research'
'ustav_fyziky_plazmatu','avcr','research'
'ustav_geoniky','avcr','research'
'ustav_chemickych_procesu','avcr','research'
'ustav_informatiky','avcr','research'
'ustav_jaderne_fyziky','avcr','research'
'ustav_makromolekularni_chemie','avcr','research'
'ustav_molekularni_biologie_rostlin','avcr','research'
'ustav_molekularni_genetiky','avcr','research'
'ustav_organicke_chemie_a_biochemie','avcr','research'
'ustav_pristrojove_techniky','avcr','research'
'ustav_pro_ceskou_literaturu','avcr','research'
'ustav_pro_hydrodynamiku','avcr','research'
'ustav_pro_jazyk_cesky','avcr','research'
'ustav_pro_soudobe_dejiny','avcr','research'
