code,isPartOf,isPartOf2,institution,address,url,library-url
agritec,vi,research,"AGRITEC - výzkum, šlechtění, služby s.r.o.‎","Zemědělská 2520/16, 78701 Šumperk","http://www.agritec.cz/","http://www.agritec.cz/cs/knihovna-agritec"
agrotest_fyto,vi,research,"Agrotest fyto, s.r.o.","Havlíčkova 2787/121, 767 01 Kroměříž","http://www.vukrom.cz/","https://www.vukrom.cz/cz/knihovna.html"
akademie_muzickych_umeni_v_praze,public_uni,edu,"Akademie múzických umění","Malostranské nám. 12, 118 00 Praha 1","http://www.amu.cz","https://www.amu.cz/cs/vse-o-amu/knihovny/"
akademie_vytvarnych_umeni,public_uni,edu,"Akademie výtvarných umění","U Akademie 4, 170 22 Praha 7","http://www.avu.cz/","http://www.avu.cz/category/avu-menu/akademie/specializovan%C3%A1-pracovi%C5%A1t%C4%9B/knihovna"
archeologicky_ustav_brno,avcr,research,"Archeologický ústav, Brno","Královopolská 147, 612 00 Brno","http://www.arub.cz/","http://arub.avcr.cz/knihovna/"
archeologicky_ustav_praha,avcr,research,"Archeologický ústav, Praha","Letenská 4,  118 01 Praha 1","http://www.arup.cas.cz/","http://www.arup.cas.cz/?cat=52"
archip,private_uni,edu,"Architectural Institute in Prague","Františka Křížka 1, 170 00 Prague 7 ","http://www.archip.eu/",""
archiv_doc_jiri_soucek,personal_archive,other,"Osobní archiv doc. RNDr. Jiřího Součka, DrSc.","","",""
archiv_ing_arch_jana_moucky,personal_archive,other,"Osobní archiv Ing. arch. Jana Moučky","",""
arnika,ngo,other,"Arnika","Dělnická 13, 170 00 Praha 7","http://arnika.org/",""
astronomicky_ustav,avcr,research,"Astronomický ústav","Fričova 298,  251 65 Ondřejov","http://www.asu.cas.cz/","http://www.asu.cas.cz/knihovna"
biofyzikalni_ustav,avcr,research,"Biofyzikální ústav","Královopolská 135,  612 65 Brno","http://www.ibp.cz/",""
biologicke_centrum,avcr,research,"Biologické centrum","Branišovská 1160/31, České Budějovice","http://www.bc.cas.cz/","http://www.bc.cas.cz/cz/sluzby/knihovna/"
biotechnologicky_ustav,avcr,research,"Biotechnologický ústav","Vídeňská 1083,  Praha 4, 142 20","http://www.ibt.cas.cz/cs",""
botanicky_ustav,avcr,research,"Botanický ústav","Zámek 1,  252 43 Průhonice","http://www.ibot.cas.cz/","https://www.ibot.cas.cz/cs/knihovna/"
cenia,null,gov,"CENIA, česká informační agentura životního prostředí","Vršovická 1442/65, Praha 10, 100 10","http://www.cenia.cz",""
centrum_dopravniho_vyzkumu,vvi,research,"Centrum dopravního výzkumu, v.v.i. Brno","Líšeňská 33a, 636 00 Brno","http://www.cdv.cz/",""
centrum_pro_dopravu_a_energetiku,ngo,other,"Centrum pro dopravu a energetiku","Na Rozcestí 6, 190 00 Praha 9","https://cde.ecn.cz/",""
centrum_pro_regionalni_rozvoj,vi,research,"Centrum pro regionální rozvoj České republiky","U Nákladového nádraží 3144/4, 130 00  Praha 3","http://www.crr.cz",""
centrum_pro_studium_vysokeho_skolstvi,vvi,research,"Centrum pro studium vysokého školství","U Dvou srpů 2024/2, Praha 5 - Smíchov","http://www.csvs.cz/",""
centrum_pro_vyzkum_verejneho_mineni,avcr,research,"Sociologický ústav (CVVM)","Jilská 1, 110 00 Praha 1","http://cvvm.soc.cas.cz/",""
centrum_vyzkumu_globalni_zmeny,avcr,research,"Ústav výzkumu globální změny","Bělidla 4a, 603 00 Brno","http://www.czechglobe.cz/","http://www.czechglobe.cz/cs/knihovna/"
ceska_asociace_ergoterapeutu,ngo,other,"Česká asociace ergoterapeutů","Kloboučnická 1627/7, 140 00 Praha 4","http://ergoterapie.cz/",""
ceska_asociace_paraplegiku,ngo,other,"Česká asociace paraplegiků","Ovčárská 471, 108 00 Praha 10","http://www.czepa.cz/",""
ceska_narodni_banka,null,other,"ČNB","Na příkopě 864/28, 110 00 Praha 1-Nové Město","http://www.cnb.cz",""
ceska_spolecnost_ornitologicka,ngo,other,"Česká společnost ornitologická","Na Bělidle 34, 150 00 Praha","http://www.birdlife.cz/",""
ceska_zemedelska_univerzita,public_uni,edu,"Česká zemědělská univerzita v Praze","Kamýcká 129, 165 21 Praha 6 - Suchdol","http://czu.cz/","http://vskp.czu.cz/"
cesky_statisticky_urad,null,gov,"Český statistický úřad","Na padesátém 3268/81, 100 82 Praha 10","https://www.czso.cz/",""
clovek_v_tisni,ngo,other,"Člověk v tísni, o.p.s","Šafaříkova 635/24, 120 00 Praha 2","http://www.clovekvtisni.cz"," "
crdm,ngo,other,"Česká rada dětí a mládeže","Senovážné nám. 977/24, 110 00 Praha 1","http://crdm.cz/",""
cvut,public_uni,edu,"České vysoké učení technické v Praze","Zikova 1903/4, 166 36 Praha 6","https://www.cvut.cz/",""
ekodomov,ngo,other,"Ekodomov, z. s.","V Podbabě 29b/2602, 160 00 Praha 6","http://www.ekodomov.cz/",""
